address,lat,long
1044 Washington Ave,32.838219,-83.636917
526 Orange St,32.838055,-83.637863
538 Orange St,32.837833,-83.637955
544 Orange St,32.837719,-83.637993
1085 High St,32.837627,-83.638039
1061 High St,32.83762,-83.637871
1037 High St,32.83757,-83.637718
1017 High St,32.837502,-83.637405
987 High St,32.837463,-83.63707
971 High St,32.837425,-83.636894
963 High St,32.83741,-83.636803
953 High St,32.837345,-83.636703
935 High St,32.837318,-83.636238
923 High St,32.837296,-83.636055
1028 Washington Ave,32.838142,-83.636688
1020 Washington Ave,32.838127,-83.636589
1012 Washington Ave,32.838116,-83.63649
861 High St,32.8372,-83.635384
988 High St,32.837208,-83.637161
974 High St,32.837173,-83.637009
962 High St,32.837147,-83.636879
956 High St,32.837147,-83.63681
938 High St,32.836998,-83.636497
920 High St,32.836868,-83.636292
910 High St,32.836796,-83.636185
902 High St,32.836777,-83.636055
629 Spring St,32.836479,-83.636314
586 Orange St,32.837067,-83.637688
630 Orange St,32.836548,-83.638084
642 Orange St,32.83643,-83.638184
887 Forsyth St,32.835724,-83.635872
860 Forsyth St,32.835495,-83.635666
634 Spring St,32.836269,-83.636093
862 High St,32.836342,-83.635429
858 High St,32.83633,-83.635368
852 High St,32.836205,-83.635109
839 Forsyth St,32.835754,-83.634918
835 Forsyth St,32.835758,-83.634865
827 Forsyth St,32.835766,-83.634743
823 Forsyth St,32.83577,-83.634735
811 Forsyth St,32.835812,-83.634575
820 High St,32.835903,-83.634712
746 Spring St,32.834755,-83.637238
57 HighPl,32.836452,-83.637253
595 New St,32.835957,-83.634277
830 Poplar St,32.837257,-83.633575
887 Washington Ave,32.838104,-83.634544
859 Washington Ave,32.838058,-83.6343
853 Washington Ave,32.838043,-83.634254
843 Poplar St,32.837494,-83.633476
453 New St,32.837776,-83.632782
512 Sapp St,32.825104,-83.670334
833 Cherry St,32.838825,-83.632431
768 Cherry St,32.838062,-83.631737
746 Cherry St,32.837849,-83.631302
415 First St,32.837357,-83.630882
482 New St,32.837303,-83.632835
463 Cotton Ave,32.836845,-83.631027
682 Cherry St,32.837204,-83.630356
